"","original_name","species_list_name"
"2906","Sorbus aucuparia","Sorbus aucuparia"
"2907","Salix caprea","Salix caprea"
"2908","Fraxinus excelsior","Fraxinus excelsior"
"2910","Tilia - Species Unknown","Tilia Spp."
"2911","Fraxinus excelsior","Fraxinus excelsior"
"2912","Crataegus monogyna","Crataegus monogyna"
"2913","Ilex aquifolium","Ilex aquifolium"
"2914","Fraxinus excelsior Pendula","Fraxinus excelsior Pendula"
"2915","Tilia x europea","Tilia x europea"
"2916","Crataegus monogyna","Crataegus monogyna"
"2917","Quercus robur","Quercus robur"
"2918","Aesculus hippocastanum","Aesculus hippocastanum"
"2919","Prunus - Species Unknown","Prunus Spp."
"2920","Carpinus betulus","Carpinus betulus"
"2921","Prunus Amanogawa","Prunus Amanogawa"
"2922","Prunus - Species Unknown","Prunus Spp."
"2923","Crataegus laciniata","Crataegus laciniata"
"2924","Betula pendula","Betula pendula"
"2925","Populus x canadensis Serotina","Populus x canadensis"
"2926","Fraxinus excelsior","Fraxinus excelsior"
"2927","ZZ Tree stump","Dead stump"
"2928","Aesculus - Species Unknown","Aesculus Spp."
"2929","Corylus colurna","Corylus colurna"
"2930","Prunus dulcis","Prunus dulcis"
"2931","Sorbus aucuparia","Sorbus aucuparia"
"2932","Catalpa bignonioides","Catalpa bignonioides"
"2933","Tilia x europea","Tilia x europea"
"2934","Prunus Kanzan","Prunus Kanzan"
"2935","Platanus x acerifolia","Platanus x acerifolia"
"2936","Crataegus monogyna","Crataegus monogyna"
"2937","Acer pseudoplatanus","Acer pseudoplatanus"
"2938","Cupressus macrocarpa","Cupressus macrocarpa"
"2939","Acer pseudoplatanus","Acer pseudoplatanus"
"2940","Sorbus aucuparia","Sorbus aucuparia"
"2941","Salix caprea","Salix caprea"
"2942","Fraxinus excelsior","Fraxinus excelsior"
"2943","Salix fragilis","Salix fragilis"
"2944","Aesculus hippocastanum","Aesculus hippocastanum"
"2945","Acer pseudoplatanus","Acer pseudoplatanus"
"2946","Prunus Tai-haku","Prunus Taihaku"
"2947","Carpinus betulus","Carpinus betulus"
"2948","Fraxinus excelsior","Fraxinus excelsior"
"2949","Tilia x euchlora","Tilia x euchlora"
"2950","Fraxinus excelsior","Fraxinus excelsior"
"2951","Tilia x europea","Tilia x europea"
"2952","Acer pseudoplatanus","Acer pseudoplatanus"
"2953","Tilia x europea","Tilia x europea"
"2954","Alnus incana","Alnus incana"
"2955","Tilia x europea","Tilia x europea"
"2956","Zelkova serrata","Zelkova serrata"
"2957","Acer platanoides","Acer platanoides"
"2958","Prunus avium Plena","Prunus avium Plena"
"2959","Prunus - Species Unknown","Prunus Spp."
"2960","Betula pendula Dalecarlica","Betula pendula Dalecarlica"
"2961","Prunus - Species Unknown","Prunus Spp."
"2962","Abies procera","Abies procera"
"2963","Populus nigra Italica","Populus nigra Italica"
"2964","Robinia pseudoacacia","Robinia pseudoacacia"
"2965","Acer platanoides","Acer platanoides"
"2966","Pinus - Unknown Species","Pinus Spp."
"2967","Sorbus intermedia","Sorbus intermedia"
"2968","Malus - Species Unknown","Malus Spp."
"2969","Taxus baccata","Taxus baccata"
"2970","Fraxinus - Species Unknown","Fraxinus Spp."
"2971","Carpinus betulus","Carpinus betulus"
"2972","Quercus robur","Quercus robur"
"2973","Prunus avium Plena","Prunus avium Plena"
"2974","Fraxinus excelsior","Fraxinus excelsior"
"2975","Tilia x euchlora","Tilia x euchlora"
"2976","Platanus x acerifolia","Platanus x acerifolia"
"2977","Tilia - Species Unknown","Tilia Spp."
"2978","Quercus robur","Quercus robur"
"2979","Chamaecyparis lawsoniana","Chamaecyparis lawsoniana"
"2980","Platanus x acerifolia","Platanus x acerifolia"
"2981","Fraxinus excelsior","Fraxinus excelsior"
"2982","Quercus robur","Quercus robur"
"2983","Cedrus libani","Cedrus libani"
"2984","Tilia cordata","Tilia cordata"
"2985","Tilia - Species Unknown","Tilia Spp."
"2986","Populus x canescens","Populus x canescens"
"2987","Betula albosinensis","Betula albosinensis"
"2988","Quercus robur","Quercus robur"
"2989","Populus x canadensis Robusta","Populus x canadensis"
"2990","Quercus robur","Quercus robur"
"2991","Acer saccharinum","Acer saccharinum"
"2992","Tilia cordata","Tilia cordata"
"2993","Tilia x europea","Tilia x europea"
"2994","Tilia - Species Unknown","Tilia Spp."
"2995","Malus trilobata","Malus trilobata"
"2996","Acer pseudoplatanus","Acer pseudoplatanus"
"2997","Carpinus betulus","Carpinus betulus"
"2998","Tilia - Species Unknown","Tilia Spp."
"2999","Platanus x acerifolia","Platanus x acerifolia"
"3000","Prunus avium","Prunus avium"
"3001","Prunus avium Plena","Prunus avium Plena"
"3002","Fraxinus excelsior","Fraxinus excelsior"
"3003","Platanus x acerifolia","Platanus x acerifolia"
"3004","Castanea sativa","Castanea sativa"
"3005","Fraxinus excelsior","Fraxinus excelsior"
"3006","Tilia x euchlora","Tilia x euchlora"
"3007","Tilia - Species Unknown","Tilia Spp."
"3008","Alnus cordata","Alnus cordata"
"3009","Malus John Downie","Malus John Downie"
"3010","Tilia x europea","Tilia x europea"
"3011","Sorbus intermedia","Sorbus intermedia"
"3012","Acer platanoides","Acer platanoides"
"3013","Sorbus aucuparia","Sorbus aucuparia"
"3014","Betula ermanii","Betula ermanii"
"3015","Pinus - Unknown Species","Pinus Spp."
"3016","Fagus sylvatica","Fagus sylvatica"
"3017","Malus - Species Unknown","Malus Spp."
"3018","Acer campestre","Acer campestre"
"3019","Platanus x acerifolia","Platanus x acerifolia"
"3021","Acer platanoides","Acer platanoides"
"3022","Carpinus betulus","Carpinus betulus"
"3023","Acer campestre","Acer campestre"
"3024","Betula pendula","Betula pendula"
"3025","Acer campestre","Acer campestre"
"3026","Cedrus libani","Cedrus libani"
"3027","Malus - Species Unknown","Malus Spp."
"3028","Sorbus intermedia","Sorbus intermedia"
"3029","Acer platanoides","Acer platanoides"
"3030","Betula - Species Unknown","Betula Spp."
"3031","Magnolia x loebneri","Magnolia x loebneri"
"3032","Prunus avium","Prunus avium"
"3033","Tilia - Species Unknown","Tilia Spp."
"3034","Salix fragilis","Salix fragilis"
"3035","Tilia x europea","Tilia x europea"
"3036","Robinia pseudoacacia","Robinia pseudoacacia"
"3037","Platanus x acerifolia","Platanus x acerifolia"
"3038","Acer pseudoplatanus","Acer pseudoplatanus"
"3039","Quercus robur","Quercus robur"
"3040","Prunus - Species Unknown","Prunus Spp."
"3042","Platanus x acerifolia","Platanus x acerifolia"
"3043","Crataegus monogyna 'Stricta'","Crataegus monogyna Stricta"
"3044","Tilia x europea","Tilia x europea"
"3045","Platanus x acerifolia","Platanus x acerifolia"
"3046","Tilia x europea","Tilia x europea"
"3047","Crataegus monogyna","Crataegus monogyna"
"3048","Betula albosinensis fascinatio","Betula albosinensis Fascination"
"3049","Crataegus monogyna","Crataegus monogyna"
"3050","Ginkgo biloba","Ginkgo biloba"
"3051","Fagus sylvatica","Fagus sylvatica"
"3052","Tilia x europea","Tilia x europea"
"3053","Aesculus hippocastanum","Aesculus hippocastanum"
"3054","Betula nigra","Betula nigra"
"3055","Platanus x acerifolia","Platanus x acerifolia"
"3056","ZZ Tree stump","Dead stump"
